kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
9210823,K00090.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,0.828206212,8.8e-07,-8.8e-07,135.722038,0.000833,-0.000833,0.615,0.089,-0.445,1.737,0.0329,-0.0329,132.3,2.4,-2.4,3.88,0.89,-1.64,3274.0,,,27125.5,18961.85,-19066.16,68.1,1,q1_q17_dr25_tce,5812.0,175.0,-157.0,3.598,0.367,-0.122,3.227,0.737,-1.369,288.44153,45.609001,11.743
7941200,K00092.01,Kepler-1709 b,CONFIRMED,CANDIDATE,0.972,0,0,0,0,65.7045275,0.0001061,-0.0001061,137.44275,0.0014,-0.0014,0.663,0.197,-0.434,3.3104,0.0469,-0.0469,636.1,10.3,-10.3,2.78,0.42,-0.25,472.0,,,11.72,4.96,-2.8,70.4,1,q1_q17_dr25_tce,5918.0,106.0,-130.0,4.403,0.08,-0.12,1.043,0.158,-0.092,283.37482,43.788219,11.667
6462863,K00094.01,Kepler-89 d,CONFIRMED,CANDIDATE,0.994,0,0,0,0,22.342964828,3.404e-06,-3.404e-06,132.741641,0.000128,-0.000128,0.031,0.045,-0.031,6.66405,0.0039,-0.0039,5612.8,5.3,-5.3,9.99,1.82,-1.5,785.0,,,89.61,44.96,-30.27,1118.9,1,q1_q17_dr25_tce,6181.0,111.0,-135.0,4.234,0.143,-0.117,1.331,0.243,-0.199,297.33307,41.891121,12.205
6462863,K00094.02,Kepler-89 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,10.423677439,7.173e-06,-7.173e-06,138.009041,0.000584,-0.000584,0.005,0.299,-0.005,5.2257,0.021,-0.021,777.3,4.1,-4.1,3.72,0.67,-0.56,1012.0,,,247.48,124.16,-83.6,204.4,3,q1_q17_dr25_tce,6181.0,111.0,-135.0,4.234,0.143,-0.117,1.331,0.243,-0.199,297.33307,41.891121,12.205
6462863,K00094.03,Kepler-89 e,CONFIRMED,CANDIDATE,0.953,0,0,0,0,54.31996151,3.391e-05,-3.391e-05,161.239869,0.000503,-0.000503,0.497,0.005,-0.357,8.5858,0.0243,-0.0243,1975.0,7.2,-7.2,6.07,1.11,-0.91,584.0,,,27.4,13.75,-9.25,291.3,2,q1_q17_dr25_tce,6181.0,111.0,-135.0,4.234,0.143,-0.117,1.331,0.243,-0.199,297.33307,41.891121,12.205
6462863,K00094.04,Kepler-89 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,3.743166733,5.614e-06,-5.614e-06,131.61967,0.00142,-0.00142,0.008,0.392,-0.008,3.6888,0.0421,-0.0421,126.3,2.2,-2.2,1.5,0.27,-0.23,1423.0,,,971.76,487.5,-328.28,47.2,4,q1_q17_dr25_tce,6181.0,111.0,-135.0,4.234,0.143,-0.117,1.331,0.243,-0.199,297.33307,41.891121,12.205
5780885,K00097.01,Kepler-7 b,CONFIRMED,CANDIDATE,0.999,0,1,0,0,4.885488596,2.66e-07,-2.66e-07,134.2768785,4.53e-05,-4.53e-05,0.361,0.014,-0.017,5.16165,0.00597,-0.00597,7458.4,3.7,-3.7,16.66,1.04,-0.7,1496.0,,,1182.79,223.79,-147.95,2590.1,1,q1_q17_dr25_tce,6036.0,78.0,-72.0,3.968,0.02,-0.016,1.909,0.12,-0.08,288.58151,41.089809,12.885
10264660,K00098.01,Kepler-14 b,CONFIRMED,CANDIDATE,0.994,0,0,0,0,6.790120801,1.905e-06,-1.905e-06,138.088199,0.000231,-0.000231,0.486,0.051,-0.095,6.0437,0.0285,-0.0285,2302.3,5.7,-5.7,9.86,0.72,-0.36,1434.0,,,998.97,206.95,-122.3,526.1,1,q1_q17_dr25_tce,6372.0,76.0,-89.0,3.954,0.02,-0.02,2.001,0.146,-0.073,287.70883,47.33305,12.128
4055765,K00100.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,9.9664004,1.22e-05,-1.22e-05,141.15324,0.00101,-0.00101,0.966,0.012,-0.008,5.0127,0.0702,-0.0702,1619.0,19.4,-19.4,16.89,2.15,-4.29,1578.0,,,1466.1,534.35,-713.6,125.9,1,q1_q17_dr25_tce,6638.0,120.0,-133.0,3.664,0.195,-0.065,3.079,0.391,-0.782,291.17792,39.19949,12.598
8456679,K00102.01,Kepler-1990 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,1.73513619,2.82e-07,-2.82e-07,135.060047,0.000136,-0.000136,0.045,0.192,-0.045,2.2741,0.00554,-0.00554,952.6,2.3,-2.3,3.27,0.54,-0.33,1554.0,,,1372.87,628.45,-350.48,473.2,1,q1_q17_dr25_tce,5751.0,103.0,-114.0,4.391,0.08,-0.12,1.071,0.177,-0.109,299.70474,44.435749,12.566
